grievance_text,severity
INTERNET NOT WORKING NOT RESOLVED YET!!! kya ho raha hai,High
internet not working,High
still net very slow since long time bhai,Low
INTERNET NOT WORKING PLS FIX!!! kya ho raha hai,High
"please check, wifi down, what is this?",High
"please check, facing intrnet not functioning yaar",High
no connection pls fix since long time,High
wifi down since morning yaar,High
disconnecting again and again since morning kya ho raha hai,Low
facing disconnecting again and again since long time bhai,Low
no connection from last night since long time bhai,High
"please check, still net gone",High
disconnecting again and again since morning bhai,Low
NO CONNECTION NOT RESOLVED YET!!! bhai,High
internet very too slow yaar,Low
"disconnecting again and again, what is this? since long time kya ho raha hai",Low
"please check, unstable connection",Low
"please check, facing wifi down yaar",High
"please check, no connection since morning",High
having internet gone continuously yaar,High
"please check, internet gone, what is this? kya ho raha hai",High
"please check, having no connection continuously asap",High
SPEED IS LOW SINCE MORNING!!! bhai,Low
data loss trouble since morning since long time kya ho raha hai,Low
INTERNET NOT WORKING FROM LAST NIGHT!!! yaar,High
internet not functioning pls fix,High
"please check, delay in response from last night kya ho raha hai",Low
"please check, router problem from last night",Low
wifi down since morning since long time yaar,High
data loss problem not resolved yet kya masla hai,Low
HAVING WIFI DOWN CONTINUOUSLY!!! kya ho raha hai,High
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,Low
facing ping too high since long time kya ho raha hai,Low
FACING DNS NOT RESOLVING!!! yaar,Low
"please check, no connection, what is this? yaar",High
intrnet very too slow not resolved yet,Low
"please check, no connection not resolved yet kya ho raha hai",High
dns not resolving since long time yaar,Low
intrnet gone not resolved yet,High
"please check, router not working since morning bhai",Low
STILL KEEPS DROPPING!!! bhai,Low
no connection since morning since long time bhai,High
net NOT WORKING AGAIN!!! yaar,High
BUFFERING ISSUE!!! kya ho raha hai,Low
having packet loss happening continuously,Low
wifi down from last night bhai,High
"please check, router not running since morning yaar",Low
net not working not resolved yet since long time kya ho raha hai,High
FACING INTERNET NOT WORKING!!! yaar,High
still buffering issue since long time,Low
wifi GONE AGAIN!!! yaar,High
HAVING NO CONNECTION CONTINUOUSLY!!! kya ho raha hai,High
having delay in response continuously since long time bhai,Low
"please check, cannot access sites since morning kya ho raha hai",Low
PING TOO HIGH AGAIN!!! bhai,Low
HAVING WIFI DOWN CONTINUOUSLY!!!,High
"please check, still router not working kya ho raha hai",Low
FACING wifi NOT WORKING!!!,High
buffering problem from last night since long time kya ho raha hai,Low
keeps dropping since long time yaar,Low
"wifi very slow, what is this? since long time bhai",Low
"no connection, what is this? since long time",High
no connection bhai,High
having no connection continuously yaar,High
UNSTABLE CONNECTION FROM LAST NIGHT!!! bhai,Low
"disconnecting again and again, what is this? since long time",Low
router not working,Low
"please check, internet not running again yaar",High
"please check, lag trouble again",Low
"speed is low, what is this? yaar",Low
"please check, speed is low again kya masla hai",Low
BUFFERING trouble AGAIN!!! bhai,Low
"please check, facing disconnecting again and again yaar",Low
"please check, disconnecting again and again from last night yaar",Low
"please check, speed is low pls fix yaar",Low
having no connection continuously since long time kya ho raha hai,High
facing lag issue bhai,Low
FACING DELAY IN RESPONSE!!!,Low
"ROUTER PROBLEM, WHAT IS THIS?!!! kya ho raha hai",Low
having internet not running continuously since long time bhai,High
unstable connection not resolved yet yaar,Low
PACKET LOSS HAPPENING SINCE MORNING!!!,Low
internet not working again bhai,High
having router problem continuously since long time,Low
"please check, having no connection continuously bhai",High
net gone from last night since long time,High
data loss issue since morning kya ho raha hai,Low
connection not working since morning yaar,High
still no connection bhai,High
still wifi gone kya ho raha hai,High
FACING UNSTABLE CONNECTION!!! bhai,Low
net VERY SLOW AGAIN!!! bhai,Low
still keeps dropping since long time,Low
FACING NO CONNECTION!!! yaar,High
UNSTABLE CONNECTION!!! kya ho raha hai,Low
no connection pls fix bhai,High
wifi down from last night bhai,High
"please check, still cannot access sites",Low
still wifi down kya ho raha hai,High
BUFFERING trouble PLS FIX!!! yaar,Low
DATA LOSS trouble NOT RESOLVED YET!!! kya ho raha hai,Low
"please check, wifi down from last night bhai",High
FACING WIFI DOWN!!! yaar,High
connection GONE PLS FIX!!! bhai,High
PING TOO HIGH SINCE MORNING!!! yaar,Low
still keeps dropping yaar,Low
wifi down not resolved yet since long time,High
router problem since morning since long time bhai,Low
packet loss happening not resolved yet bhai,Low
net not working again bhai,High
"please check, ping too high not resolved yet",Low
router problem from last night since long time kya ho raha hai,Low
"please check, wifi down pls fix bhai",High
"please check, having no connection continuously",High
"please check, no connection from last night kya masla hai",High
"please check, wifi down not resolved yet",High
lag issue since morning since long time asap,Low
"please check, keeps dropping",Low
still internet gone,High
FACING wifi GONE!!! bhai,High
"please check, still disconnecting again and again bhai",Low
net not working not resolved yet since long time yaar,High
dns not resolving since long time bhai,Low
data loss issue from last night kya ho raha hai,Low
"connection not working, what is this? since long time bhai",High
"please check, facing intrnet not working",High
wifi NOT WORKING NOT RESOLVED YET!!! kya masla hai,High
"please check, having buffering trouble continuously kya ho raha hai",Low
"please check, having net very slow continuously bhai",Low
router problem pls fix yaar,Low
net very slow since long time,Low
internet gone pls fix since long time bhai,High
internet gone again bhai,High
ping too high bhai,Low
"please check, wifi not working from last night kya masla hai",High
"please check, wifi gone since morning kya ho raha hai",High
WIFI DOWN PLS FIX!!! kya ho raha hai,High
internet not working since morning since long time yaar,High
"please check, intrnet not working",High
having data loss trouble continuously since long time,Low
facing no connection since long time yaar,High
disconnecting again and again since morning kya masla hai,Low
"please check, wifi down",High
"please check, connection gone kya ho raha hai",High
"please check, still internet not working kya ho raha hai",High
"please check, still speed is low yaar",Low
no connection again,High
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! yaar,Low
"please check, packet loss happening yaar",Low
"cannot access sites, what is this? pls fix",Low
"wifi not working, what is this? since long time",High
FACING BUFFERING ISSUE!!! kya ho raha hai,Low
facing intrnet gone since long time,High
"please check, packet loss happening again bhai",Low
STILL WIFI DOWN!!!,High
internet very slow pls fix since long time bhai,Low
internet not functioning again kya ho raha hai,High
dns not resolving not resolved yet since long time bhai,Low
facing unstable connection since long time,Low
lag problem since morning since long time yaar,Low
NO CONNECTION!!! bhai,High
"ROUTER PROBLEM, WHAT IS THIS?!!! bhai",Low
no connection pls fix yaar,High
facing internet not working yaar,High
no connection pls fix kya masla hai,High
net gone since morning kya ho raha hai,High
no connection from last night since long time bhai,High
"please check, wifi gone again yaar",High
wifi gone pls fix since long time kya ho raha hai,High
wifi down pls fix since long time yaar,High
facing delay in response since long time kya ho raha hai,Low
"please check, unstable connection again bhai",Low
FACING PACKET LOSS HAPPENING!!! kya ho raha hai,Low
"lag issue, what is this? yaar",Low
INTERNET VERY SLOW PLS FIX!!! bhai,Low
wifi down again since long time,High
no connection pls fix since long time kya ho raha hai,High
"please check, internet gone, what is this? kya masla hai",High
net not working again bhai,High
"please check, wifi not working not resolved yet yaar",High
delay in response from last night kya ho raha hai,Low
having buffering issue continuously yaar,Low
"please check, keeps dropping pls fix",Low
net GONE NOT RESOLVED YET!!! kya masla hai,High
"please check, net not working, what is this? bhai",High
"please check, internet not running",High
facing router not working bhai,Low
having no connection continuously since long time bhai,High
buffering trouble not resolved yet since long time,Low
internet gone again kya ho raha hai,High
SPEED IS LOW!!!,Low
lag problem not resolved yet,Low
net slow kya ho raha hai,Low
DELAY IN RESPONSE SINCE MORNING!!! bhai,Low
NO CONNECTION NOT RESOLVED YET!!! bhai,High
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! yaar",Low
still connection gone kya ho raha hai,High
"please check, router not working, what is this? kya ho raha hai",Low
"please check, keeps dropping not resolved yet",Low
DNS NOT RESOLVING SINCE MORNING!!! yaar,Low
facing disconnecting again and again since long time,Low
"please check, having wifi down continuously",High
"please check, still router problem yaar",Low
WIFI DOWN NOT RESOLVED YET!!! bhai,High
"please check, wifi down pls fix bhai",High
facing internet gone since long time yaar,High
speed is low kya ho raha hai,Low
"please check, internet not running from last night yaar",High
UNSTABLE CONNECTION FROM LAST NIGHT!!! yaar,Low
"please check, net gone bhai",High
"internet gone, what is this? yaar",High
"please check, speed is low, what is this? yaar",Low
internet not working from last night since long time,High
"please check, wifi down pls fix",High
intrnet gone not resolved yet,High
disconnecting again and again since long time bhai,Low
FACING DATA LOSS ISSUE!!! kya ho raha hai,Low
ROUTER NOT WORKING FROM LAST NIGHT!!! yaar,Low
HAVING INTERNET GONE CONTINUOUSLY!!!,High
"ROUTER PROBLEM, WHAT IS THIS?!!! bhai",Low
delay in response bhai,Low
"please check, buffering problem again",Low
having net too slow continuously since long time bhai,Low
"please check, disconnecting again and again, what is this? kya ho raha hai",Low
still buffering trouble since long time bhai,Low
HAVING DISCONNECTING AGAIN AND AGAIN CONTINUOUSLY!!!,Low
connection NOT WORKING AGAIN!!! yaar,High
"please check, having keeps dropping continuously",Low
ROUTER NOT WORKING FROM LAST NIGHT!!! kya ho raha hai,Low
"internet gone, what is this? since long time",High
STILL KEEPS DROPPING!!!,Low
ping too high since morning since long time yaar,Low
having unstable connection continuously since long time,Low
net gone since morning since long time yaar,High
router not running from last night bhai,Low
BUFFERING problem AGAIN!!! kya ho raha hai,Low
"please check, router not running pls fix yaar",Low
net very slow since morning since long time bhai,Low
"please check, no connection pls fix kya ho raha hai",High
HAVING DATA LOSS problem CONTINUOUSLY!!! yaar,Low
"please check, unstable connection since morning",Low
"please check, intrnet very too slow pls fix",Low
having wifi down continuously bhai,High
keeps dropping since long time bhai,Low
STILL wifi NOT WORKING!!!,High
"please check, internet not running from last night bhai",High
PACKET LOSS HAPPENING!!! kya ho raha hai,Low
facing wifi down since long time bhai,High
WIFI DOWN AGAIN!!! bhai,High
"BUFFERING ISSUE, WHAT IS THIS?!!! bhai",Low
INTERNET GONE PLS FIX!!! kya ho raha hai,High
no connection from last night since long time,High
"please check, router not functioning yaar",Low
"please check, wifi down, what is this? bhai",High
STILL net NOT WORKING!!!,High
"please check, having internet very slow continuously bhai",Low
PACKET LOSS HAPPENING SINCE MORNING!!! bhai,Low
facing no connection since long time bhai,High
"please check, cannot access sites from last night",Low
"please check, internet very very slow pls fix bhai",Low
unstable connection not resolved yet yaar,Low
ping too high from last night kya ho raha hai,Low
"please check, still unstable connection",Low
internet not working since long time bhai,High
BUFFERING ISSUE FROM LAST NIGHT!!!,Low
"net gone, what is this? bhai",High
DATA LOSS trouble SINCE MORNING!!! kya ho raha hai,Low
"please check, router not running pls fix kya ho raha hai",Low
"please check, speed is low again kya ho raha hai",Low
"please check, facing connection very slow kya ho raha hai",Low
NET SLOW NOT RESOLVED YET!!! bhai,Low
UNSTABLE CONNECTION NOT RESOLVED YET!!! yaar,Low
SPEED IS LOW PLS FIX!!!,Low
still no connection kya masla hai,High
"please check, facing connection not working",High
"please check, wifi down not resolved yet yaar",High
still dns not resolving,Low
"NO CONNECTION, WHAT IS THIS?!!! yaar",High
KEEPS DROPPING FROM LAST NIGHT!!! bhai,Low
wifi down since morning bhai,High
internet not working not resolved yet since long time kya ho raha hai,High
intrnet not functioning from last night bhai,High
"please check, having router not running continuously kya ho raha hai",Low
WIFI DOWN SINCE MORNING!!! kya ho raha hai,High
"please check, facing internet not wrkng kya ho raha hai",High
"please check, wifi down yaar",High
UNSTABLE CONNECTION NOT RESOLVED YET!!! bhai,Low
net not working since long time,High
wifi NOT WORKING AGAIN!!! kya ho raha hai,High
lag trouble since morning bhai,Low
ROUTER PROBLEM NOT RESOLVED YET!!! bhai,Low
NO CONNECTION FROM LAST NIGHT!!! bhai,High
internet gone since morning since long time bhai,High
facing wifi down since long time,High
"please check, ping too high again",Low
HAVING CANNOT ACCESS SITES CONTINUOUSLY!!! yaar,Low
having internet not working continuously kya ho raha hai,High
"please check, facing net too slow",Low
internet very slow again since long time bhai,Low
"please check, disconnecting again and again since morning bhai",Low
speed is low from last night kya masla hai,Low
still lag trouble since long time bhai,Low
having keeps dropping continuously bhai,Low
STILL DATA LOSS ISSUE!!! bhai,Low
"please check, having cannot access sites continuously kya ho raha hai",Low
"please check, facing ping too high",Low
wifi VERY SLOW!!!,Low
"INTERNET GONE, WHAT IS THIS?!!! bhai",High
connection not working not resolved yet since long time kya ho raha hai,High
keeps dropping since morning since long time bhai,Low
cannot access sites from last night since long time,Low
still keeps dropping since long time bhai,Low
"please check, connection very slow pls fix",Low
HAVING NO CONNECTION CONTINUOUSLY!!! kya ho raha hai,High
UNSTABLE CONNECTION SINCE MORNING!!!,Low
NO CONNECTION FROM LAST NIGHT!!!,High
"internet gone, what is this? yaar",High
"please check, router problem, what is this? kya ho raha hai",Low
buffering issue pls fix since long time kya ho raha hai,Low
intrnet very too slow kya ho raha hai,Low
net slow since morning since long time,Low
still wifi down since long time kya ho raha hai,High
"please check, connection gone, what is this?",High
HAVING DATA LOSS trouble CONTINUOUSLY!!!,Low
BUFFERING ISSUE!!! bhai,Low
"connection not working, what is this? since long time kya masla hai",High
having internet gone continuously since long time bhai,High
"WIFI DOWN, WHAT IS THIS?!!! yaar",High
STILL ROUTER PROBLEM!!! kya ho raha hai,Low
"please check, unstable connection from last night",Low
"please check, delay in response pls fix bhai",Low
"please check, wifi down, what is this?",High
"please check, wifi down again",High
router problem pls fix yaar,Low
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
facing internet gone,High
NO CONNECTION PLS FIX!!! kya ho raha hai,High
"please check, no connection, what is this? bhai",High
still no connection since long time bhai,High
internet gone not resolved yet kya masla hai,High
no connection pls fix kya ho raha hai,High
still router not running since long time kya ho raha hai,Low
no connection from last night,High
facing cannot access sites since long time bhai,Low
WIFI DOWN NOT RESOLVED YET!!! kya masla hai,High
HAVING PING TOO HIGH CONTINUOUSLY!!! kya masla hai,Low
having internet gone continuously since long time,High
facing wifi gone since long time,High
cannot access sites again since long time,Low
"please check, net too slow since morning",Low
HAVING DISCONNECTING AGAIN AND AGAIN CONTINUOUSLY!!! bhai,Low
lag issue pls fix,Low
"please check, internet not running again",High
having router not running continuously since long time yaar,Low
NO CONNECTION AGAIN!!! bhai,High
STILL wifi VERY SLOW!!! kya ho raha hai,Low
"please check, lag problem since morning kya ho raha hai",Low
HAVING PING TOO HIGH CONTINUOUSLY!!!,Low
buffering issue from last night,Low
ping too high since morning yaar,Low
facing connection not working,High
DISCONNECTING AGAIN AND AGAIN!!! bhai,Low
no connection since long time bhai,High
WIFI DOWN!!! bhai,High
"please check, unstable connection not resolved yet bhai",Low
lag trouble again,Low
no connection not resolved yet,High
disconnecting again and again pls fix since long time,Low
still ping too high bhai,Low
having speed is low continuously bhai,Low
delay in response not resolved yet,Low
ROUTER NOT WORKING SINCE MORNING!!!,Low
facing wifi down since long time bhai,High
lag issue since morning kya ho raha hai,Low
"please check, delay in response pls fix",Low
packet loss happening since morning,Low
"please check, no connection, what is this? bhai",High
data loss issue since long time yaar,Low
"please check, net gone bhai",High
having no connection continuously since long time,High
STILL SPEED IS LOW!!!,Low
having buffering trouble continuously since long time bhai,Low
cannot access sites from last night,Low
"please check, router not running not resolved yet yaar",Low
"DNS NOT RESOLVING, WHAT IS THIS?!!!",Low
no connection again kya ho raha hai,High
router not running since long time bhai,Low
"please check, ping too high, what is this? yaar",Low
still net gone yaar,High
INTERNET GONE NOT RESOLVED YET!!! yaar,High
"please check, having no connection continuously",High
"please check, router not functioning",Low
cannot access sites kya ho raha hai,Low
wifi down not resolved yet,High
router not running pls fix since long time yaar,Low
"net not working, what is this? since long time yaar",High
ROUTER NOT running AGAIN!!!,Low
buffering issue from last night since long time bhai,Low
delay in response again since long time yaar,Low
having ping too high continuously since long time yaar,Low
INTERNET NOT WORKING SINCE MORNING!!! yaar,High
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,Low
"please check, wifi down from last night yaar",High
no connection since morning since long time kya ho raha hai,High
having wifi down continuously,High
HAVING INTERNET VERY SLOW CONTINUOUSLY!!! yaar,Low
"please check, disconnecting again and again not resolved yet kya ho raha hai",Low
wifi down from last night yaar,High
keeps dropping,Low
having internet not working continuously kya ho raha hai,High
WIFI DOWN AGAIN!!!,High
speed is low again since long time kya ho raha hai,Low
"wifi down, what is this? kya ho raha hai",High
"please check, cannot access sites pls fix bhai",Low
connection not working since morning,High
"please check, wifi down kya ho raha hai",High
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
FACING INTERNET NOT WORKING!!!,High
internet very slow again kya ho raha hai,Low
"please check, still wifi down bhai",High
"please check, internet not wrkng from last night",High
no connection again kya ho raha hai,High
net gone from last night since long time kya ho raha hai,High
connection not working since morning since long time bhai,High
"please check, still disconnecting again and again yaar",Low
"please check, disconnecting again and again pls fix",Low
FACING DATA LOSS ISSUE!!! kya ho raha hai,Low
keeps dropping since long time kya ho raha hai,Low
"please check, still router not functioning yaar",Low
packet loss happening not resolved yet yaar,Low
no connection again since long time kya ho raha hai,High
still net not working since long time bhai,High
"please check, router problem pls fix bhai",Low
NET SLOW!!!,Low
"please check, facing internet not working kya ho raha hai",High
STILL ROUTER PROBLEM!!!,Low
FACING PACKET LOSS HAPPENING!!!,Low
wifi down not resolved yet,High
net GONE FROM LAST NIGHT!!! yaar,High
having wifi down continuously since long time bhai,High
internet not working from last night,High
having router problem continuously since long time,Low
"please check, speed is low, what is this? bhai",Low
"please check, speed is low kya ho raha hai",Low
INTERNET GONE!!! bhai,High
wifi down since morning since long time bhai,High
"DELAY IN RESPONSE, WHAT IS THIS?!!! bhai",Low
packet loss happening since morning bhai,Low
"please check, data loss issue, what is this?",Low
"please check, wifi down since morning bhai",High
STILL WIFI DOWN!!!,High
having speed is low continuously yaar,Low
"please check, no connection pls fix",High
FACING BUFFERING ISSUE!!! kya ho raha hai,Low
PACKET LOSS HAPPENING AGAIN!!! yaar,Low
"no connection, what is this? yaar",High
net GONE!!! yaar,High
"wifi down, what is this? since long time kya ho raha hai",High
DATA LOSS ISSUE AGAIN!!! yaar,Low
"please check, disconnecting again and again from last night yaar",Low
"please check, keeps dropping from last night yaar",Low
facing unstable connection kya ho raha hai,Low
wifi down pls fix since long time,High
NET SLOW!!! bhai,Low
UNSTABLE CONNECTION NOT RESOLVED YET!!! bhai,Low
no connection since morning kya masla hai,High
internet not working pls fix bhai,High
WIFI DOWN SINCE MORNING!!! bhai,High
having no connection continuously since long time kya masla hai,High
speed is low from last night kya ho raha hai,Low
net slow again bhai,Low
speed is low bhai,Low
NET too slow PLS FIX!!! bhai,Low
"please check, still connection not working yaar",High
STILL UNSTABLE CONNECTION!!! kya ho raha hai,Low
speed is low bhai,Low
"please check, facing wifi down kya ho raha hai",High
"please check, having wifi down continuously yaar",High
"please check, net not wrkng pls fix yaar",High
"please check, connection not working, what is this? bhai",High
"please check, delay in response kya masla hai",Low
"please check, router problem again kya ho raha hai",Low
internet not working not resolved yet since long time bhai,High
still net too slow,Low
no connection since long time yaar,High
having wifi down continuously kya ho raha hai,High
"please check, net lagging yaar",Low
"please check, buffering trouble yaar",Low
still data loss issue,Low
"please check, internet gone",High
ping too high pls fix bhai,Low
FACING wifi NOT WORKING!!!,High
STILL ROUTER NOT WORKING!!! bhai,Low
"please check, facing dns not resolving kya ho raha hai",Low
facing buffering problem bhai,Low
net not working again since long time,High
internet not working since long time,High
facing speed is low since long time kya ho raha hai,Low
UNSTABLE CONNECTION SINCE MORNING!!!,Low
"please check, disconnecting again and again since morning",Low
"please check, buffering issue pls fix kya ho raha hai",Low
FACING net GONE!!! bhai,High
having no connection continuously bhai,High
having wifi down continuously bhai,High
FACING WIFI DOWN!!! yaar,High
FACING WIFI DOWN!!!,High
still internet not wrkng since long time,High
no connection not resolved yet since long time bhai,High
having disconnecting again and again continuously kya ho raha hai,Low
"wifi down, what is this?",High
disconnecting again and again again since long time bhai,Low
SPEED IS LOW PLS FIX!!! bhai,Low
"DISCONNECTING AGAIN AND AGAIN, WHAT IS THIS?!!! bhai",Low
lag issue since long time bhai,Low
"please check, data loss problem again",Low
"please check, connection not working from last night",High
"please check, keeps dropping yaar",Low
still wifi down,High
having router not running continuously since long time bhai,Low
wifi down not resolved yet yaar,High
"please check, router problem, what is this? yaar",Low
wifi down pls fix,High
"please check, wifi down, what is this?",High
UNSTABLE CONNECTION SINCE MORNING!!! yaar,Low
DELAY IN RESPONSE SINCE MORNING!!!,Low
"please check, facing connection gone yaar",High
"please check, having data loss issue continuously",Low
SPEED IS LOW AGAIN!!!,Low
"please check, internet very lagging since morning bhai",Low
having intrnet gone continuously,High
ping too high not resolved yet since long time,Low
INTERNET VERY very slow AGAIN!!! kya masla hai,Low
"please check, still data loss issue yaar",Low
having connection gone continuously since long time,High
ROUTER PROBLEM FROM LAST NIGHT!!! kya ho raha hai,Low
"disconnecting again and again, what is this? yaar",Low
still ping too high bhai,Low
"please check, ping too high not resolved yet bhai",Low
wifi down from last night bhai,High
"please check, buffering problem bhai",Low
"please check, cannot access sites from last night yaar",Low
"wifi down, what is this? yaar",High
packet loss happening since long time bhai,Low
"data loss issue, what is this? since long time yaar",Low
net NOT WORKING!!! yaar,High
"connection NOT WORKING, WHAT IS THIS?!!! bhai",High
having net gone continuously kya ho raha hai,High
internet gone since morning since long time,High
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! pls fix,High
"please check, router problem yaar",Low
connection GONE AGAIN!!! kya ho raha hai,High
FACING NO CONNECTION!!!,High
ROUTER NOT WORKING PLS FIX!!!,Low
packet loss happening again yaar,Low
"please check, no connection kya ho raha hai",High
no connection since long time bhai,High
data loss issue pls fix since long time kya ho raha hai,Low
still no connection kya ho raha hai,High
connection GONE AGAIN!!!,High
INTERNET GONE PLS FIX!!!,High
HAVING INTERNET GONE CONTINUOUSLY!!! yaar,High
still no connection bhai,High
"internet gone, what is this? since long time",High
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! bhai,Low
data loss trouble not resolved yet,Low
still wifi down bhai,High
having data loss issue continuously since long time,Low
"NO CONNECTION, WHAT IS THIS?!!! yaar",High
ROUTER NOT WORKING NOT RESOLVED YET!!! bhai,Low
buffering problem from last night yaar,Low
still router not working yaar,Low
still connection not working,High
delay in response again since long time,Low
FACING DISCONNECTING AGAIN AND AGAIN!!!,Low
having net gone continuously since long time yaar,High
"please check, router not running from last night",Low
having no connection continuously bhai,High
"please check, connection gone from last night bhai",High
packet loss happening again since long time,Low
"please check, data loss problem since morning bhai",Low
"please check, wifi down from last night",High
"please check, wifi down",High
wifi down pls fix bhai,High
"please check, router not wrkng bhai",Low
"please check, facing delay in response bhai",Low
router problem,Low
speed is low since long time,Low
buffering trouble since morning yaar,Low
PING TOO HIGH AGAIN!!!,Low
INTERNET NOT WORKING!!! kya ho raha hai,High
keeps dropping from last night since long time bhai,Low
net gone pls fix since long time yaar,High
DNS NOT RESOLVING FROM LAST NIGHT!!! bhai,Low
ping too high pls fix,Low
unstable connection not resolved yet since long time kya ho raha hai,Low
FACING PACKET LOSS HAPPENING!!! kya ho raha hai,Low
STILL SPEED IS LOW!!! yaar,Low
"please check, keeps dropping pls fix",Low
"please check, facing internet not wrkng yaar",High
"please check, facing wifi down kya ho raha hai",High
"please check, still no connection bhai",High
facing intrnet not running since long time,High
"please check, wifi down pls fix kya ho raha hai",High
having no connection continuously bhai,High
having wifi down continuously since long time bhai,High
BUFFERING problem NOT RESOLVED YET!!!,Low
facing wifi not working since long time yaar,High
connection NOT WORKING NOT RESOLVED YET!!! bhai,High
INTERNET NOT WORKING AGAIN!!! kya masla hai,High
having delay in response continuously since long time bhai,Low
"please check, having lag trouble continuously kya ho raha hai",Low
STILL WIFI DOWN!!! yaar,High
"please check, intrnet gone since morning bhai",High
"please check, facing internet not functioning yaar",High
"please check, net very slow",Low
data loss trouble pls fix since long time bhai,Low
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,Low
buffering trouble pls fix bhai,Low
CANNOT ACCESS SITES SINCE MORNING!!! bhai,Low
"no connection, what is this? bhai",High
still packet loss happening bhai,Low
STILL INTERNET NOT WORKING!!! bhai,High
DNS NOT RESOLVING FROM LAST NIGHT!!!,Low
no connection yaar,High
wifi down bhai,High
speed is low from last night bhai,Low
internet not working pls fix since long time bhai,High
"please check, facing speed is low bhai",Low
facing cannot access sites since long time kya ho raha hai,Low
"please check, wifi down pls fix yaar",High
"please check, ping too high again yaar",Low
keeps dropping from last night,Low
internet gone again yaar,High
wifi down since long time yaar,High
still delay in response since long time,Low
"internet not working, what is this? bhai",High
buffering problem not resolved yet yaar,Low
no connection pls fix since long time bhai,High
"please check, speed is low from last night kya ho raha hai",Low
internet very slow from last night kya ho raha hai,Low
UNSTABLE CONNECTION FROM LAST NIGHT!!! bhai,Low
no connection not resolved yet since long time,High
"please check, wifi down not resolved yet kya ho raha hai",High
"please check, router problem kya masla hai",Low
net gone pls fix,High
"net slow, what is this? since long time bhai",Low
facing lag issue since long time bhai,Low
"please check, router problem again bhai",Low
"please check, net lagging from last night yaar",Low
wifi not working since morning bhai,High
facing no connection yaar,High
FACING INTERNET NOT WORKING!!! bhai,High
NO CONNECTION AGAIN!!! kya ho raha hai,High
internet not functioning from last night,High
internet gone pls fix bhai,High
facing disconnecting again and again kya ho raha hai,Low
"internet gone, what is this? since long time",High
ROUTER PROBLEM FROM LAST NIGHT!!!,Low
"please check, wifi down, what is this? yaar",High
"please check, still internet not running bhai",High
wifi down from last night yaar,High
"please check, router problem since morning bhai",Low
FACING DISCONNECTING AGAIN AND AGAIN!!!,Low
no connection not resolved yet bhai,High
net GONE PLS FIX!!!,High
still net gone kya ho raha hai,High
unstable connection pls fix bhai,Low
"router not working, what is this?",Low
NET SLOW SINCE MORNING!!! yaar,Low
"DATA LOSS ISSUE, WHAT IS THIS?!!! bhai",Low
"please check, net not working again yaar",High
"please check, wifi very slow from last night",Low
wifi down since morning since long time kya ho raha hai,High
no connection pls fix kya ho raha hai,High
FACING connection NOT WORKING!!! bhai,High
disconnecting again and again again yaar,Low
"please check, facing router not working",Low
facing wifi down,High
"please check, delay in response pls fix bhai",Low
"please check, still router not functioning",Low
still lag problem yaar,Low
"please check, packet loss happening kya ho raha hai",Low
still wifi gone since long time,High
"please check, lag issue from last night",Low
"please check, still no connection yaar",High
"connection not working, what is this? since long time",High
HAVING SPEED IS LOW CONTINUOUSLY!!! bhai,Low
"please check, facing wifi down",High
"please check, no connection yaar",High
having speed is low continuously kya ho raha hai,Low
"please check, no connection pls fix yaar",High
INTERNET NOT functioning FROM LAST NIGHT!!! bhai,High
facing wifi down since long time kya ho raha hai,High
buffering issue again since long time,Low
wifi down since morning,High
"please check, having no connection continuously",High
LAG trouble PLS FIX!!! yaar,Low
"please check, connection not working since morning",High
buffering problem since morning yaar,Low
dns not resolving pls fix kya ho raha hai,Low
INTERNET GONE FROM LAST NIGHT!!! yaar,High
"please check, internet gone since morning kya masla hai",High
WIFI DOWN AGAIN!!! yaar,High
packet loss happening not resolved yet since long time yaar,Low
lag issue pls fix since long time,Low
facing wifi down bhai,High
having speed is low continuously,Low
wifi down pls fix bhai,High
WIFI DOWN FROM LAST NIGHT!!! kya ho raha hai,High
FACING DELAY IN RESPONSE!!! bhai,Low
ROUTER NOT WORKING PLS FIX!!! kya ho raha hai,Low
intrnet gone not resolved yet since long time bhai,High
ping too high not resolved yet bhai,Low
unstable connection from last night since long time yaar,Low
PACKET LOSS HAPPENING!!! bhai,Low
facing wifi down yaar,High
keeps dropping from last night since long time bhai,Low
still intrnet gone since long time bhai,High
disconnecting again and again from last night yaar,Low
ROUTER PROBLEM AGAIN!!!,Low
"please check, facing internet not wrkng yaar",High
INTERNET NOT WORKING!!! bhai,High
packet loss happening pls fix since long time yaar,Low
NO CONNECTION PLS FIX!!! kya ho raha hai,High
still internet gone bhai,High
"net slow, what is this?",Low
FACING KEEPS DROPPING!!!,Low
connection NOT WORKING FROM LAST NIGHT!!! bhai,High
"please check, no connection from last night",High
"please check, speed is low since morning bhai",Low
